"Genotype","TRS_kg_per_Mg_BLUP","CYMg_per_ha_BLUP","Population_BLUP","Dia_BLUP","Brix_BLUP","Fiber_BLUP","SW_kg_BLUP","Sucrose.._BLUP","Moisture_BLUP","Pol..Reading_BLUP","Purity_BLUP"
"CP79-318",117.146990817905,46.032296396952,61052.4288857489,22.3922521253094,19.6472984449986,12.618358904439,0.756100893781326,16.5073508523106,70.3315611329306,71.1777461849862,82.8099029784431
"L01-283",126.186869270499,81.9329952830409,121648.565610591,21.118755217668,20.4435674547523,12.9483845445384,0.762999590851088,17.5797921553815,69.1630905644821,76.0950404038261,84.8168534701809
"HOCP13-755",130.586181175032,54.160020860015,94486.9142543773,21.4187181595178,20.4195679798575,11.7952066799933,0.591295368644221,17.9824889399891,70.0300898626577,77.8159206138689,86.8050633205844
"HO06-523",127.405898486803,69.2155002018538,88561.7453745036,21.0753059101187,20.1517977364551,13.8823168515823,0.869410657609638,17.6096124954605,68.5941877660662,76.1074551494348,86.1646171031162
"HOCP96-561",126.712572833426,64.9943397679463,92967.0540436232,22.0911006007997,20.0031913911502,12.2406513521104,0.776104617095009,17.5013880490406,70.0288408435355,75.5810958090449,86.243861589955
"L94-426",126.712286783925,57.4544182622384,81411.2000082565,22.8880450573886,20.0048950262134,14.0157966969761,0.765456109558122,17.501304799517,68.7729234104111,75.5957037942398,86.1758976151675
"L11-187",127.177254722605,54.2200025434678,81614.2397070694,21.3662907084512,20.5525013614374,13.5858356418852,0.705773767526326,17.7046558899448,68.6140326722705,76.6779260079343,84.9541923783545
"HO05-961",116.671453038859,57.6517590539124,78367.4369825984,20.9285217273537,19.3996727145577,12.2738750800707,0.779486792067845,16.3875523684624,70.6443391257285,70.5866387182968,83.3296726888931
"L09-099",114.884865627565,66.5957784712406,89068.7862518037,21.3863317758847,19.006709078392,13.2299903662482,0.771170069410915,16.1113546022272,70.3077171733845,69.2371696721138,83.6444545754665
"L11-183",127.93971027536,78.6053392008302,99756.387495817,22.5156827448915,20.4167042395935,12.4600501896616,0.848027987064811,17.7347471897494,69.5996726615164,76.7412170115364,85.6923058107729
"HO09-825",125.326202356247,66.3568625787521,113345.736649327,20.4012105418989,19.9282858614969,12.4504077464718,0.667178814001811,17.3523179334049,69.8594741778122,74.9074405845314,85.8622325646926
"MERTHIZELL",82.7764516324818,39.9207826094362,60754.4659130025,19.8706771696554,16.1207330197255,12.9227149844025,0.573221349374492,12.2859905258745,72.9958764005039,52.0886338779141,75.1418768591045
"US01-040",96.0363857438356,57.9625405614681,83559.7065546759,20.2996238975633,17.1966815253724,15.8639101004847,0.728982055797754,13.8323844841968,70.0026019636792,58.9351184694763,79.3523051744925
"L08-092",126.602707950768,76.8035839649136,106729.056999212,21.2766773049627,20.3509718086748,12.9933152496475,0.782268318330441,17.5959613477192,69.2485099166011,76.1163189006299,85.2200529546174
"LCP82-089",119.725534040042,46.0705847851317,64480.1720510467,20.9300390353107,19.8810872485912,13.1488698793168,0.747049472030083,16.814876010982,69.3342125748178,72.603720359188,83.3302468154548
"DWARF2",127.072953920767,54.3430304700885,89169.3843532443,22.6132648471047,20.4459891408302,12.2930404535868,0.655259623913198,17.6645911776842,69.7545243418944,76.4488388407854,85.2218155027169
"HOCP02-610",118.866256604315,82.6067511895509,107012.846125248,21.2998215371205,19.4961083615216,13.3757394213115,0.904907403240965,16.623204918008,69.7160448764212,71.6044076718779,84.1430816220707
"HOCP92-618",130.748231382571,62.5333871070598,82432.3206607681,21.2476653753902,21.2561172633833,14.2019525155428,0.847983383482482,18.2387913941966,67.6165198191535,79.2643090602252,84.6582136740373
"HO09-822",119.209985015881,67.9653787990596,87653.1140842577,21.3896527471769,19.2713195357416,14.1236948261337,0.768058779640089,16.5917200911923,69.5353523720802,71.4428231512909,84.6055962047362
"HOCP89-846",117.945421339445,43.6778826023329,56473.5331844296,22.2255644231383,19.3721702108541,12.4707057411703,0.826954400871158,16.5044882748291,70.3069671926906,71.0534501890379,83.9440519969703
"HOCP11-536",129.082075818099,55.8002127730227,93591.9789847417,20.0077276278152,20.3178434951962,13.6450128949128,0.616337271341574,17.8161477576954,68.7706613470309,77.061475393354,86.4399969272885
"L08-088",119.281745351047,54.7790127121279,77113.4693266955,20.7626393516839,19.712627625733,12.9401803941273,0.742968822735456,16.7257007602597,69.8349030848097,72.1173595807829,83.7327135867346
"L05-466",123.52784604614,56.8923582858901,89008.1831197299,20.1906561491611,19.767666193766,15.6364795371662,0.654321921412028,17.1375474593068,68.0183652184147,73.9159549248177,85.5248595670429
"HO11-532",127.763358473718,65.1104717036128,91586.6933564065,20.8751205166381,20.4467927866146,13.726349180353,0.771460379447659,17.7265935718325,68.4992223219382,76.7251775611043,85.4939720248092
"L97-128",127.385474715412,84.4439031272,101903.118248983,21.4790095509456,20.27031091317,13.4872821733896,0.861359471458731,17.6404087544466,69.0144411597343,76.2951917163943,85.8207842368586
"L01-315",119.868567414509,45.9292858344319,86228.5494534,18.4784457166197,19.3073906589814,13.6641929133306,0.517762666851933,16.6630934656472,69.789530054918,71.7222815230252,85.0030151990106
"HOCP00-930",119.53805608995,59.5519574812286,100992.55085473,21.123698623437,19.652633319106,13.0433336263244,0.636733791146784,16.7319672835892,69.9711474030576,72.1251548369047,84.0040507598958
"HO11-515",131.234271006387,66.2993639106156,90181.3516705733,21.5520469831742,20.7149794754735,13.2306913777051,0.799104232299827,18.1294778282036,68.6799571316391,78.5731201734459,86.2657565407386
"HOCP10-917",128.288214980393,82.1627993095424,114760.363640459,21.7753983096289,20.5174201851097,12.2371587760656,0.810878648504234,17.7988151905234,69.5160912520983,77.062122354897,85.4753134606983
"HOCP04-838",129.307597464424,69.0442351859723,109017.591966308,20.5858067734415,20.7511899509293,13.7004092961406,0.686871875752753,17.9597849309852,68.2667490526073,77.851494913218,85.3657321713967
"LCP85-384",125.754659890449,75.4455373069971,114949.474858547,21.630623089132,20.1805873226555,13.2690704225766,0.75760729310272,17.46365452412,69.1181379363129,75.4827313228805,85.2825237867787
"HO11-573",136.277387869075,59.3639039974252,83603.4935313145,21.7018527608128,21.7105201632968,13.0672507772975,0.741216708801105,18.8868414226797,68.1292963637347,82.2642824670077,85.8486926374752
"US04-9116",89.6922991203242,56.4607796635848,228257.945709593,12.5043208212355,16.9030965820912,22.9558209196187,0.253649708634486,13.1599582665359,65.0970669491174,56.0079341737361,76.7631972085007
"HO14-9273",116.718583101917,85.3870521126653,109069.902059983,21.0900010985573,19.3354155296871,16.8144702950115,0.895460416012272,16.37585297516,67.2311981266373,70.5003979121167,83.5098744402444
"HO09-840",113.974356137549,60.105527177635,114521.678084058,18.5751170876109,19.0227346736142,14.6451935304443,0.555206938856604,16.0332364922061,69.1013861691307,68.9079470062,83.1741440464779
"US06-9304",115.172417343212,87.2771912321595,126878.31269187,20.4348837202279,19.0053684197429,14.1243430055158,0.773947140914896,16.1396210764722,69.4717053273358,69.3605452374109,83.7740112186252
"HoCP05-918",127.734594070175,48.3316905516252,72798.4490244102,22.1568192377152,20.5356002409457,12.4394624350389,0.575159219858434,17.7538590165001,69.6200880255703,76.8500339542899,85.3047629091555
"L94-432",130.098617477573,69.7422095767222,101367.358532934,20.6380889837397,20.7982080774967,13.3240978667418,0.737824754071225,18.046822355911,68.5970676123512,78.2498708918311,85.6139595061144
"HO12-615",127.880609940393,69.271266037534,120176.495879177,19.6263742247878,20.2032851150763,13.6184674170756,0.619402582193264,17.6685869743797,68.6911192099589,76.3851804936906,86.2433419307139
"HO10-199",120.874046227571,73.9983310886116,97274.101907297,21.7813649981541,19.7253476358626,13.5943978751267,0.848358528659635,16.8760435543779,69.3389886864897,72.7776645536768,84.3774839724881
"Ho89-889",134.180696845448,56.9938159979621,82022.0052347353,22.4100654403401,21.557870101434,13.6363317452884,0.776748535071091,18.6501608426516,67.8282320419592,81.1526244266287,85.3593528918334
